City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
140,Sozimskiy,RU,59.74,52.25,46.56,61,81,10.42,broken clouds,0.0,0.0
141,Tirumullaivasal,IN,11.23,79.83,93.16,48,100,7.25,overcast clouds,0.0,0.0
142,Komsomolskiy,UZ,40.43,71.72,86.0,19,0,4.7,clear sky,0.0,0.0
143,Klaksvik,FO,62.23,-6.59,51.8,93,87,17.22,overcast clouds,0.0,0.0
144,Paralimni,CY,35.04,33.98,78.8,74,0,4.7,clear sky,0.0,0.0
145,Abu Zabad,SD,12.35,29.25,83.48,56,63,14.25,broken clouds,0.0,0.0
146,Victoria,HK,22.29,114.16,91.99,66,95,20.0,overcast clouds,0.0,0.0
147,Vardo,NO,70.37,31.11,47.95,74,31,7.0,scattered clouds,0.0,0.0
148,Alofi,NU,-19.06,-169.92,75.2,88,98,8.05,light rain,0.22,0.0
149,Sao Joao Da Barra,BR,-21.64,-41.05,71.4,87,0,9.66,clear sky,0.0,0.0
150,Muros,ES,42.78,-9.06,64.99,85,92,10.0,overcast clouds,0.0,0.0
151,Torbay,CA,47.67,-52.73,36.0,100,5,5.82,clear sky,0.0,0.0
152,Ratnagiri,IN,16.98,73.3,84.81,73,57,6.8,light rain,0.65,0.0
153,Nome,US,64.5,-165.41,60.8,82,90,6.93,light rain,0.0,0.0
154,Geraldton,AU,-28.77,114.6,78.8,24,0,16.11,clear sky,0.0,0.0
155,Tabuk,PH,17.42,121.44,89.24,64,45,2.44,light rain,0.68,0.0
156,Brufut,GM,13.38,-16.75,78.31,85,91,8.7,overcast clouds,0.0,0.0
157,Khatanga,RU,71.97,102.5,67.42,45,56,16.22,broken clouds,0.0,0.0
158,Hermanus,ZA,-34.42,19.23,57.0,93,10,8.99,clear sky,0.0,0.0
159,Lolua,ZA,-34.42,19.23,57.0,93,10,8.99,clear sky,0.0,0.0
160,Attawapiskat,ZA,-34.42,19.23,57.0,93,10,8.99,clear sky,0.0,0.0
161,Camana,PE,-16.62,-72.71,60.76,78,2,9.82,clear sky,0.0,0.0
162,Agadir,MA,30.42,-9.6,62.6,88,0,3.36,clear sky,0.0,0.0
163,Saint George,US,37.1,-113.58,82.4,10,1,3.36,clear sky,0.0,0.0
164,Roald,NO,62.58,6.13,62.6,82,92,5.82,overcast clouds,0.0,0.0
165,Ormond Beach,US,29.29,-81.06,79.0,100,20,5.28,few clouds,0.0,0.0
166,Lorengau,PG,-2.02,147.27,84.33,70,31,1.01,light rain,0.66,0.0
167,Pangai,TO,-19.8,-174.35,77.88,86,58,14.83,broken clouds,0.0,0.0
168,Arman,RU,59.7,150.17,57.56,65,8,8.16,clear sky,0.0,0.0
169,Ballina,AU,-28.87,153.57,72.0,64,0,12.75,light rain,0.11,0.0
170,Esperance,AU,-33.87,121.9,59.0,44,0,8.05,clear sky,0.0,0.0
171,Pacific Grove,US,36.62,-121.92,57.2,93,90,5.82,overcast clouds,0.0,0.0
172,Port Alfred,ZA,-33.59,26.89,61.0,86,2,5.01,clear sky,0.0,0.0
173,Burica,ZA,-33.59,26.89,61.0,86,2,5.01,clear sky,0.0,0.0
174,San Patricio,MX,19.22,-104.7,78.49,69,81,3.44,broken clouds,0.0,0.0
175,Tambura,SS,5.6,27.47,72.01,89,7,7.65,clear sky,0.0,0.0
176,East London,ZA,-33.02,27.91,59.0,54,0,9.17,clear sky,0.0,0.0
177,Gambela,ET,8.25,34.58,74.75,86,79,3.49,light rain,0.15,0.0
178,Bluff,NZ,-46.6,168.33,39.0,83,1,3.0,clear sky,0.0,0.0
179,Mahebourg,MU,-20.41,57.7,71.6,83,75,16.11,shower rain,0.0,0.0
180,Faanui,PF,-16.48,-151.75,78.71,85,100,20.27,light rain,0.12,0.0
181,Bambous Virieux,MU,-20.34,57.76,75.99,73,20,17.22,shower rain,0.0,0.0
182,Kununurra,AU,-15.77,128.73,91.4,25,11,13.87,few clouds,0.0,0.0
183,Quatre Cocos,MU,-20.21,57.76,75.99,73,20,17.22,shower rain,0.0,0.0
184,Blagoyevo,RU,63.37,47.92,48.29,57,77,11.95,broken clouds,0.0,0.0
185,Banda Aceh,ID,5.56,95.32,84.87,74,90,11.79,moderate rain,1.45,0.0
186,Nanortalik,GL,60.14,-45.24,40.26,82,99,5.17,overcast clouds,0.0,0.0
187,Pitea,SE,65.32,21.48,66.2,45,0,3.36,clear sky,0.0,0.0
188,Evensk,RU,61.95,159.23,66.24,46,7,8.32,clear sky,0.0,0.0
189,Rio Grande,BR,-32.03,-52.1,63.0,99,85,14.18,overcast clouds,0.0,0.0
190,Moranbah,AU,-22.0,148.05,73.17,39,5,6.33,clear sky,0.0,0.0
191,Vanino,RU,49.09,140.25,53.78,68,57,7.27,broken clouds,0.0,0.0
192,Walvis Bay,NA,-22.96,14.51,59.0,33,0,5.82,clear sky,0.0,0.0
193,Bengkulu,ID,-3.8,102.27,84.18,69,100,8.61,overcast clouds,0.0,0.0
194,Georgetown,MY,5.41,100.34,89.6,62,40,8.05,scattered clouds,0.0,0.0
