City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Lebedyn,UA,2020-06-18 05:28:16,50.59,34.48,69.62,86,94,6.6
185,Tyazhinskiy,RU,2020-06-18 05:28:16,56.12,88.52,74.32,59,75,4.72
186,Parabel,RU,2020-06-18 05:28:16,58.7,81.48,70.47,45,79,7.31
187,Tecoanapa,MX,2020-06-18 05:28:16,16.52,-98.75,81.61,75,6,2.98
188,Pangnirtung,CA,2020-06-18 05:28:16,66.15,-65.71,32.45,93,30,0.45
189,Altamira,BR,2020-06-18 05:28:17,-3.2,-52.21,72.43,84,41,2.91
190,Kruisfontein,ZA,2020-06-18 05:28:17,-34.0,24.73,53.26,42,0,7.27
191,Port Augusta,AU,2020-06-18 05:28:17,-32.5,137.77,68.0,32,4,21.92
192,Corowa,AU,2020-06-18 05:28:17,-36.03,146.38,61.0,70,13,3.0
193,Yeola,IN,2020-06-18 05:28:17,20.03,74.48,78.53,75,98,10.56
194,Gazanjyk,TM,2020-06-18 05:28:18,39.24,55.52,89.17,12,0,27.67
195,Srednekolymsk,RU,2020-06-18 05:28:18,67.45,153.68,88.23,18,18,2.95
196,Mar Del Plata,AR,2020-06-18 05:25:37,-38.0,-57.56,59.0,100,90,9.17
197,Abu Dhabi,AE,2020-06-18 05:27:59,24.47,54.37,95.0,53,1,13.87
198,Camana,PE,2020-06-18 05:28:19,-16.62,-72.71,62.74,80,74,11.88
199,Coihaique,CL,2020-06-18 05:28:19,-45.58,-72.07,35.6,100,90,1.9
200,Carnarvon,AU,2020-06-18 05:28:19,-24.87,113.63,73.4,64,57,14.99
201,Gisborne,NZ,2020-06-18 05:28:19,-38.65,178.0,57.0,83,89,1.99
202,Batemans Bay,AU,2020-06-18 05:28:19,-35.72,150.18,61.0,62,1,4.0
203,Ostrow Mazowiecka,PL,2020-06-18 05:28:19,52.8,21.9,66.0,47,6,4.59
204,Kununurra,AU,2020-06-18 05:28:20,-15.77,128.73,87.8,28,0,10.29
205,Bismil,TR,2020-06-18 05:28:20,37.85,40.67,84.2,44,0,1.12
206,Bud,US,2020-06-18 05:28:20,39.45,-86.18,69.8,60,1,3.36
207,Mandalgovi,MN,2020-06-18 05:28:20,45.76,106.27,78.03,29,46,8.28
208,Basco,PH,2020-06-18 05:28:20,20.45,121.97,84.13,81,74,13.22
209,Chervonohryhorivka,UA,2020-06-18 05:28:21,47.62,34.54,75.2,64,61,8.95
210,Tortoli,IT,2020-06-18 05:28:21,39.93,9.66,66.2,68,5,4.7
211,Dumai,ID,2020-06-18 05:28:21,1.68,101.45,86.38,71,97,3.09
212,Port Hardy,CA,2020-06-18 05:28:21,50.7,-127.42,55.4,82,75,3.36
213,Te Anau,NZ,2020-06-18 05:28:21,-45.42,167.72,38.8,78,8,6.04
214,Labuhan,ID,2020-06-18 05:28:22,-6.88,112.21,87.8,60,0,7.58
215,Zhigansk,RU,2020-06-18 05:28:22,66.77,123.37,70.41,49,7,5.1
216,Hilo,US,2020-06-18 05:28:22,19.73,-155.09,78.8,74,75,5.82
217,Camacha,PT,2020-06-18 05:28:22,33.08,-16.33,64.4,93,40,5.82
218,Alofi,NU,2020-06-18 05:28:22,-19.06,-169.92,71.6,73,1,9.17
219,La Rioja,ES,2020-06-18 05:28:23,42.25,-2.5,57.2,82,90,4.7
220,Glarus,CH,2020-06-18 05:26:36,47.04,9.07,50.0,60,13,0.96
221,Salta,AR,2020-06-18 05:28:23,-24.79,-65.41,59.0,77,35,3.36
222,Moindou,NC,2020-06-18 05:28:23,-21.69,165.68,73.4,78,90,13.87
223,Sibu,MY,2020-06-18 05:28:23,2.3,111.82,86.0,70,75,6.93
224,Sosnovo-Ozerskoye,RU,2020-06-18 05:28:23,52.52,111.54,69.26,26,0,8.1
225,Benguela,AO,2020-06-18 05:28:24,-12.58,13.41,69.06,62,0,3.87
226,Bethel,US,2020-06-18 05:28:24,41.37,-73.41,64.4,93,90,6.93
227,Tecolutla,MX,2020-06-18 05:28:24,20.48,-97.02,79.52,83,0,6.35
228,Atar,MR,2020-06-18 05:28:24,20.52,-13.05,90.07,26,0,11.18
229,San Patricio,MX,2020-06-18 05:28:24,19.22,-104.7,78.75,67,4,4.56
230,Colesberg,ZA,2020-06-18 05:28:25,-30.72,25.1,37.06,82,0,5.03
231,Bouna,CI,2020-06-18 05:28:25,9.27,-3.0,73.83,88,37,9.53
232,Tengushevo,RU,2020-06-18 05:28:25,54.77,42.72,70.03,84,20,6.55
233,Havre-Saint-Pierre,CA,2020-06-18 05:28:25,50.23,-63.6,55.4,82,90,3.36
234,Laguna,US,2020-06-18 05:25:19,38.42,-121.42,77.0,40,1,6.93
235,Rypefjord,NO,2020-06-18 05:28:25,70.63,23.67,50.0,66,19,10.29
236,Souillac,MU,2020-06-18 05:28:26,-20.52,57.52,71.6,78,75,18.34
237,Riyadh,SA,2020-06-18 05:24:38,24.69,46.72,95.0,13,58,6.93
238,Korla,CN,2020-06-18 05:28:26,41.76,86.15,88.39,14,62,2.04
239,Saint-Georges,GD,2020-06-18 05:28:26,12.06,-61.75,80.6,83,20,17.22
240,Boueni,YT,2020-06-18 05:28:26,-12.9,45.08,78.8,65,8,26.4
241,Andra,RU,2020-06-18 05:28:27,62.51,65.89,49.24,49,14,12.93
242,Leningradskiy,RU,2020-06-18 05:28:27,69.38,178.42,50.63,49,100,7.94
243,Viravanallur,IN,2020-06-18 05:28:27,8.7,77.53,95.0,50,20,16.11
244,Namatanai,PG,2020-06-18 05:28:27,-3.67,152.43,84.33,71,8,8.79
245,Snasa,NO,2020-06-18 05:28:28,64.25,12.38,57.2,93,54,3.36
246,Raga,SS,2020-06-18 05:28:28,8.46,25.68,70.68,90,91,5.97
247,Codrington,AU,2020-06-18 05:28:28,-38.27,141.97,58.46,67,89,13.51
248,Tuktoyaktuk,CA,2020-06-18 05:28:28,69.45,-133.04,48.2,93,40,8.05
249,Kurayoshi,JP,2020-06-18 05:28:28,35.43,133.82,68.0,88,75,5.82
250,Jacqueville,CI,2020-06-18 05:28:29,5.21,-4.41,80.6,83,75,13.87
251,Rioja,AR,2020-06-18 05:28:29,-29.41,-66.85,53.96,40,0,6.38
252,Bengkulu,ID,2020-06-18 05:28:29,-3.8,102.27,84.69,65,49,6.76
253,Longyearbyen,SJ,2020-06-18 05:28:29,78.22,15.64,39.2,80,75,5.82
254,Ornskoldsvik,SE,2020-06-18 05:28:30,63.29,18.72,60.8,82,100,4.7
255,Rayevskiy,RU,2020-06-18 05:28:30,54.07,54.95,60.24,67,6,10.76
256,Morro Agudo,BR,2020-06-18 05:28:30,-20.73,-48.06,61.59,79,0,6.35
257,Kieta,PG,2020-06-18 05:28:30,-6.22,155.63,83.95,76,65,6.64
258,Pisco,PE,2020-06-18 05:28:30,-13.7,-76.22,59.0,93,40,6.93
259,Tiksi,RU,2020-06-18 05:28:31,71.69,128.87,57.94,50,95,4.85
260,Almeirim,BR,2020-06-18 05:28:31,-1.52,-52.58,73.13,96,15,3.06
261,Kismayo,SO,2020-06-18 05:28:31,-0.36,42.55,79.63,76,24,15.75
262,Pasighat,IN,2020-06-18 05:28:31,28.07,95.33,78.26,87,100,1.12
263,Saint George,US,2020-06-18 05:28:31,37.1,-113.58,78.8,14,1,23.04
264,Coquimbo,CL,2020-06-18 05:28:31,-29.95,-71.34,50.0,87,44,3.36
265,Damaturu,NG,2020-06-18 05:28:32,11.75,11.96,79.77,58,99,13.71
